Query,Intent
What are the undergraduate programs offered at UEM Kolkata?,courses
Does UEM offer B.Tech in Artificial Intelligence?,courses
What specializations are available in the MBA program?,courses
Is there a BCA program at UEM Kolkata?,courses
What are the eligibility criteria for B.Tech admission?,admission
When does the admission process start for MBA?,admission
What is the last date to apply for B.Tech?,admission
Does UEM accept JEE Main scores?,admission
What documents are needed for MBA admission?,admission
Is there management quota in UEM Kolkata?,admission
What is the fee structure for B.Tech program?,fees
Are there installment options for fee payment?,fees
Does UEM offer scholarships for meritorious students?,fees
What is the hostel fee structure?,fees
Are there any additional examination fees?,fees
Which companies visit UEM for campus placements?,placement
What was the highest package offered last year?,placement
Does UEM provide internship opportunities?,placement
What is the average package for CSE students?,placement
How does the placement cell support students?,placement
Does UEM have hostel facilities?,hostel
What are the hostel rules and regulations?,hostel
Are there separate hostels for girls and boys?,hostel
What amenities are provided in the hostel?,hostel
Is hostel accommodation available for all students?,hostel
What are the library timings?,library
Does the library have digital resources?,library
How many books are available in the library?,library
Can students access online journals?,library
What are the library membership rules?,library
When is the annual tech fest conducted?,events
What cultural events are organized by UEM?,events
Are there any sports competitions?,events
Does UEM participate in inter-university events?,events
How can students participate in college festivals?,events
Where is UEM Kolkata located?,contact
What is the contact number for admission queries?,contact
How to reach UEM Kolkata by public transport?,contact
What is the email for academic inquiries?,contact
Are there any international collaborations?,international
Does UEM have student exchange programs?,international
Are there dual degree options with foreign universities?,international
What research centers are available at UEM?,research
Does UEM offer PhD programs?,research
Are there industry-sponsored research projects?,research
What are the faculty qualifications?,faculty
How many faculty members have PhD degrees?,faculty
What student clubs are active at UEM?,extracurricular
Is there a coding club at UEM?,extracurricular
What sports facilities are available?,extracurricular
Does UEM have an entrepreneurship cell?,extracurricular
What is the student-teacher ratio?,general
How many campuses does UEM have?,general
What is the vision of UEM Kolkata?,general
Who is the chancellor of UEM?,general
What accreditation does UEM have?,general
Does UEM provide transportation facilities?,facilities
Is there a cafeteria on campus?,facilities
What medical facilities are available?,facilities
Are there banking facilities on campus?,facilities
What is the campus area of UEM Kolkata?,facilities
How is the campus security?,facilities
What are the notable alumni achievements?,alumni
Which companies have recruited UEM graduates?,alumni
What percentage of students get placed?,alumni
Are there alumni networking events?,alumni
Does UEM offer distance learning programs?,online
Are there any online certification courses?,online
What MOOC platforms does UEM collaborate with?,online
Does UEM provide recorded lectures?,online
What is the refund policy for withdrawn admissions?,policy
What is the attendance requirement?,policy
How are semester exams conducted?,policy
What is the grading system?,policy
Are there any dress code rules?,policy
What is the history of UEM Kolkata?,about
Who are the founders of UEM?,about
What awards has UEM received?,about
What makes UEM different from other universities?,about
How many students are enrolled currently?,stats
What is the percentage of female students?,stats
How many international students study at UEM?,stats
What is the faculty retention rate?,stats
Does UEM have a gymnasium?,facilities
Are there yoga classes offered?,facilities
What counseling services are available?,support
Is there a grievance redressal system?,support
Does UEM provide career counseling?,support
What language support is available?,support
Are there any bridge courses for weak students?,academic
How does UEM support slow learners?,academic
What are the academic calendar dates?,academic
When are semester breaks scheduled?,academic
Does UEM organize industrial visits?,industry
Are there mandatory internships?,industry
How many companies visit for internships?,industry
What is the stipend for summer internships?,industry
What startups have emerged from UEM?,innovation
Is there an incubation center?,innovation
What patents does UEM hold?,innovation
Are there innovation challenges for students?,innovation
What is the campus recruitment process?,placement
How many placement drives occur annually?,placement
What soft skills training is provided?,placement
Are mock interviews conducted?,placement
What is the placement percentage for MBA?,placement
Does UEM help with off-campus placements?,placement
